piece,bpm,tempoA,tempoB,tempoC
BKO_E3_D5_03_Wasulunka_T,114.2,27.59,57.27,56.16
BKO_E2_D4_05_Sandia_T,91.98,34.73,69.46,65.12
BKO_E2_D4_01_Suku_T,128.84,33.25,67.0,65.56
BKO_E2_D4_03_Wasulunka_T,108.26,27.38,56.35,52.96
BKO_E1_D2_04_Maraka_T,101.71,27.49,55.15,50.57
BKO_E3_D5_01_Maraka_T,113.68,28.42,57.93,56.98
BKO_E3_D6_02_Suku_T,136.13,33.23,67.61,66.24
BKO_E2_D4_06_Manjanin_T,129.54,31.73,63.46,63.21
BKO_E1_D1_01_Suku_T,124.51,30.5,63.95,62.04
BKO_E3_D5_13_Suku_T,120.05,36.22,73.26,57.4
BKO_E1_D1_02_Maraka_T,102.87,38.53,77.78,57.76
BKO_E2_D3_05_Sandia_T,94.28,35.27,70.54,70.29
BKO_E2_D3_14_Maraka_T,111.02,26.64,55.11,54.56
BKO_E3_D6_03_Wasulunka_T,110.77,28.05,56.6,53.5
BKO_E2_D4_04_Dansa_T,97.34,32.1,69.55,50.09
BKO_E3_D6_01_Maraka_T,115.33,30.18,62.51,56.38
BKO_E2_D4_02_Maraka_T,111.05,31.29,65.8,55.19
BKO_E2_D4_12_Suku_T,123.38,37.7,77.97,68.88
BKO_E2_D3_02_Suku_T,124.38,31.05,63.46,58.86
BKO_E1_D2_05_Wasulunka_T,129.41,29.58,59.17,56.8
BKO_E1_D1_04_Dansa_T,105.12,27.82,56.09,53.48
BKO_E1_D2_03_Suku_T,120.78,30.62,61.23,59.86
BKO_E2_D3_06_Manjanin_T,120.08,32.38,66.14,59.05
BKO_E1_D1_06_Manjanin_T,137.2,31.36,66.15,64.64
BKO_E3_D6_04_Sandia_T,106.26,28.57,57.84,51.66
BKO_E2_D3_01_Maraka_T,116.47,27.53,58.12,57.23
BKO_E3_D6_06_Manjanin_T,156.66,38.28,77.27,70.43
BKO_E3_D5_05_Sandia_T,102.12,30.41,63.98,57.54
BKO_E1_D1_03_Wasulunka_T,99.58,28.56,61.05,50.71
BKO_E1_D1_05_Sandia_T,98.42,27.41,55.49,51.04
BKO_E1_D2_07_Sandia_T,114.21,32.96,66.14,56.39
BKO_E2_D3_03_Wasulunka_T,107.01,38.58,79.7,53.37
BKO_E3_D5_06_Manjanin_T,114.75,28.52,58.23,56.98
BKO_E3_D6_10_Dansa_T,105.15,34.24,69.21,51.49
BKO_E3_D5_02_Suku_T,127.11,33.05,66.1,65.37
BKO_E3_D6_12_Suku_T,141.7,31.9,64.04,59.12
